question,answer
"Theo Luật Luật tổ chức VKSND 2014, số lượng, cơ cấu tỷ lệ các ngạch Điều tra viên của Viện kiểm sát nhân dân tối cao do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Tổng biên chế, số lượng Kiểm sát viên của Viện kiểm sát nhân dân tối cao do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Tổng biên chế, số lượng Kiểm sát viên của Viện kiểm sát quân sự trung ương do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:","Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân"
"Theo Luật Luật tổ chức VKSND 2014, Giấy chứng nhận Điều tra viên do ai quy định, cấp và quản lý",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Số lượng Kiểm sát viên Viện kiểm sát nhân dân tối cao không quá bao nhiêu người?",19
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát quân sự do ai quyết định?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào biệt phái Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức của Viện kiểm sát quân sự đến làm việc ở cơ quan nhà nước hoặc đơn vị khác theo yêu cầu nhiệm vụ?",Bộ trưởng Bộ Quốc phòng
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân tối cao có trách nhiệm báo cáo đơn vị nào công tác giải quyết khiếu nại, tố cáo trong hoạt động tư pháp?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Cơ quan, người có thẩm quyền trong việc tạm giữ, tạm giam phải chuyển cho Viện kiểm sát nhân dân khiếu nại, tố cáo của người bị tạm giữ, tạm giam trong thời hạn bao nhiêu giờ, kể từ khi nhận được khiếu nại, tố cáo?",24
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát nhân dân do ai quyết định?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên có mấy ngạch",3
"Theo Luật Luật tổ chức VKSND 2014, Phó thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ tịch Hội đồng thi tuyển Kiểm sát viên sơ cấp, Kiểm sát viên trung cấp, Kiểm sát viên cao cấp là?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Người được bổ nhiệm vào các ngạch Kiểm sát viên phải tuyên thệ mấy nội dung:",5
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên được bổ nhiệm lần đầu có thời hạn là mấy năm?",5
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Kiểm sát viên được bổ nhiệm lại hoặc nâng ngạch thì thời hạn là mấy năm?",10
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã trúng tuyển kỳ thi vào ngạch Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Giấy chứng nhận Kiểm tra viên do ai quy định, cấp và quản lý",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát xét xử vụ án hình sự là?",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã là Kiểm sát viên trung cấp ít nhất 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên bị cách chức chức danh Kiểm sát viên khi nào?",Khi bị kết tội bằng bản án của Tòa án đã có hiệu lực pháp luật
"Theo Luật Luật tổ chức VKSND 2014, Chế độ tiền lương đối với Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức và người lao động khác của Viện kiểm sát quân sự:",thực hiện theo chế độ của quân đội
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên có những nhiệm vụ, quyền hạn nào sau đây:",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào điều động, luân chuyển Kiểm sát viên, Kiểm tra viên, quân nhân khác, công chức, viên chức giữa các Viện kiểm sát quân sự không cùng quân khu và tương đương?",Bộ trưởng Bộ Quốc phòng
"Theo Luật Luật tổ chức VKSND 2014, Những việc Kiểm sát viên không được làm",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên được miễn nhiệm chức danh Kiểm sát viên khi nào?",do chuyển ngành
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quyết định điều động, luân chuyển công chức giữa các Viện kiểm sát nhân dân trong cùng một tỉnh, thành phố trực thuộc trung ương?",Viện trưởng Viện kiểm sát nhân dân cấp tỉnh
"Theo Luật Luật tổ chức VKSND 2014, Trụ sở, trang thiết bị, phương tiện làm việc của Viện kiểm sát quân sự do ai bảo đảm?",Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Hội đồng tuyển chọn Kiểm sát viên Viện kiểm sát nhân dân tối cao gồm có Chủ tịch là chỉ thể nào?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là","Không ngừng phấn đấu, học tập và làm theo lời dạy của Chủ tịch Hồ Chí Minh “Công minh, chính trực, khách quan, thận trọng, khiêm tốn”"
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên không có ngạch nào sau đây",Kiểm tra viên trung cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:","đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh"
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên trung cấp là:",Đã là Kiểm sát viên sơ cấp ít nhất 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát quân sự trung ương có Viện trưởng là ngạch Kiểm sát viên loại nào?",Kiểm sát viên Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên, Điều tra viên, Kiểm tra viên của Viện kiểm sát quân sự được cấp trang phục theo chế độ của đơn vị nào?",quân đội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn truy tố là?","Quyết định gia hạn, không gia hạn thời hạn truy tố, thời hạn áp dụng các biện pháp ngăn chặn"
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm, điều kiện nâng ngạch Kiểm tra viên do ………quy định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên sơ cấp là:",Có thời gian làm công tác pháp luật từ 04 năm trở lên
"Theo Luật Luật tổ chức VKSND 2014, Chế độ tiền lương đối với Kiểm sát viên, Điều tra viên, Kiểm tra viên của Viện kiểm sát nhân dân do ……..quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quy định chế độ cấp phát và sử dụng trang phục ngành Kiểm sát nhân dân, phù hiệu, cấp hiệu của Lãnh đạo Viện kiểm sát nhân dân các cấp?",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Ở Viện kiểm sát nhân dân tối cao có thể được bố trí mấy ngạch Kiểm sát viên?",4
"Theo Luật Luật tổ chức VKSND 2014, Giấy chứng minh Kiểm sát viên do ai cấp và quản lý",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quy định hình thức, chất liệu, màu sắc trang phục; chế độ cấp phát và sử dụng trang phục đối với các công chức khác, viên chức và người lao động khác của Viện kiểm sát nhân dân?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là:","Trực tiếp kiểm sát; kiểm sát việc kiểm tra, xác minh, lập hồ sơ và kết quả giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời kết quả xác minh, giải quyết cho Viện kiểm sát nhân dân."
"Theo Luật Luật tổ chức VKSND 2014, Ở Viện kiểm sát nhân dân cấp nào có thể được bố trí ngạch Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn xét xử vụ án hình sự là?","Công bố cáo trạng hoặc quyết định truy tố theo thủ tục rút gọn, quyết định khác về việc buộc tội đối với bị cáo tại phiên tòa"
"Theo Luật Luật tổ chức VKSND 2014, Hình thức, kích thước, màu sắc của Giấy chứng minh Kiểm sát viên do ai quy định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát điều tra vụ án hình sự là?","Kiểm sát việc tuân theo pháp luật trong việc khởi tố, điều tra và lập hồ sơ vụ án của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra."
"Theo Luật Luật tổ chức VKSND 2014, Ban hành thông tư, quyết định, chỉ thị, điều lệ, quy chế, chế độ công tác áp dụng đối với Viện kiểm sát nhân dân là Nhiệm vụ, quyền hạn của?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Ngạch Kiểm sát viên Viện kiểm sát nhân dân gồm có mấy ngạch:",4
"Theo Luật Luật tổ chức VKSND 2014, Các chức danh tư pháp trong Viện kiểm sát nhân dân là:",Phó thủ trưởng Cơ quan điều tra
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",Chịu trách nhiệm và báo cáo công tác trước Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp cao do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát nhân dân cấp cao do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp huyện do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức.",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát quân sự quân khu và tương đương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát quân sự trung ương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quyết định điều động, luân chuyển Kiểm sát viên, Kiểm tra viên, quân nhân khác, công chức, viên chức giữa các Viện kiểm sát quân sự trực thuộc quân khu và tương đương",Tư lệnh quân khu và tương đương
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát quân sự quân khu và tương đương, Viện kiểm sát quân sự khu vực do ai quyết định?",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp tỉnh do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Các ngạch Kiểm sát viên Viện kiểm sát nhân dân là:",Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn chung của Kiểm sát viên là",Có trình độ cử nhân luật trở lên
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát quân sự trung ương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Những việc Kiểm sát viên không được làm là",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát nhân dân cấp huyện do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào trình Chủ tịch nước bổ nhiệm, miễn nhiệm, cách chức Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Phó Viện trưởng Viện kiểm sát nhân dân cấp cao là:",không quá 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân cấp tỉnh gồm có:",Ủy ban kiểm sát
"Theo Luật Luật tổ chức VKSND 2014, Một số Kiểm sát viên Viện kiểm sát nhân dân tối cao là Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao do chủ thể nào quyết định theo đề nghị của Viện trưởng Viện kiểm sát nhân dân tối cao?",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn điều tra vụ án hình sự:","Đề ra yêu cầu điều tra và yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra thực hiện việc điều tra để làm rõ tội phạm, người phạm tội; yêu cầu Cơ quan điều tra truy nã bị can."
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố:","Giải quyết các tranh chấp về thẩm quyền giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố."
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Viện trưởng Viện kiểm sát nhân dân tối cao:",theo nhiệm kỳ của Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao gồm có:",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân tối cao có","Viện trưởng, các Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm sát viên, Kiểm tra viên; Thủ trưởng, các Phó thủ trưởng Cơ quan điều tra, Điều tra viên; công chức khác, viên chức và người lao động khác"
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát nhân dân cấp cao, Viện kiểm sát nhân dân cấp tỉnh, Viện kiểm sát nhân dân cấp huyện do chủ thể nào quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Ủy ban kiểm sát Viện kiểm sát nhân dân cấp cao gồm có:",Các Phó Viện trưởng Viện kiểm sát nhân dân cấp cao
"Theo Luật Luật tổ chức VKSND 2014, Hệ thống Viện kiểm sát nhân dân gồm:",Viện kiểm sát nhân dân cấp cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào Đề nghị Hội đồng tuyển chọn Kiểm sát viên Viện kiểm sát nhân dân tối cao tuyển chọn, xem xét việc miễn nhiệm, cách chức Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát nhân dân tối cao do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức",Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Phó Viện trưởng Viện kiểm sát nhân dân tối cao là:",không quá 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân cấp cao không gồm có:","Các cơ sở đào tạo, bồi dưỡng, các cơ quan báo chí"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Trực tiếp giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố trong trường hợp phát hiện có vi phạm pháp luật nghiêm trọng hoặc có dấu hiệu bỏ lọt tội phạm mà Viện kiểm sát nhân dân đã yêu cầu nhưng không được khắc phục."
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân tối cao gồm có:",Viện kiểm sát quân sự trung ươn
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân tối cao do chủ thể nào bầu, miễn nhiệm, bãi nhiệm?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:",Đấu tranh không khoan nhượng với mọi tội phạm và vi phạm pháp luật
"Theo Luật Luật tổ chức VKSND 2014, Nguyên tắc tổ chức và hoạt động của Viện kiểm sát nhân dân:",Viện trưởng các Viện kiểm sát cấp dưới chịu sự ……………của Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hiện chức năng thực hành quyền công tố bằng các công tác sau đây","Thực hành quyền công tố trong giai đoạn khởi tố, điều tra vụ án hình sự"
"Theo Luật Luật tổ chức VKSND 2014, Chọn đáp án đúng: Viện kiểm sát cấp trên có trách nhiệm …………..nghiêm minh vi phạm pháp luật của Viện kiểm sát cấp dưới","Kiểm tra, xử lý"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Mọi hành vi phạm tội, người phạm tội phải được phát hiện, khởi tố, điều tra, truy tố, xét xử kịp thời, nghiêm minh, đúng người, đúng tội, đúng pháp luật, không làm oan người vô tội, không để lọt tội phạm và người phạm tội"
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào có quyền rút, đình chỉ, hủy bỏ quyết định trái pháp luật của Viện trưởng Viện kiểm sát cấp dưới?",Viện trưởng Viện kiểm sát cấp trên
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng kiểm sát hoạt động tư pháp, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào dự án luật, pháp lệnh trình Quốc hội, Ủy ban thường vụ Quốc hội?",Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Thực hành quyền công tố là:","hoạt động của Viện kiểm sát nhân dân trong tố tụng hình sự để thực hiện việc buộc tội của Nhà nước đối với người phạm tội, được thực hiện ngay từ khi giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình khởi tố, điều tra, truy tố, xét xử vụ án hình sự"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Không để người nào bị khởi tố, bị bắt, tạm giữ, tạm giam, bị hạn chế quyền con người, quyền công dân trái luật"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố"
"Theo Luật Luật tổ chức VKSND 2014, Chức năng, nhiệm vụ của Viện kiểm sát nhân dân là","là cơ quan thực hành quyền công tố, kiểm sát hoạt động tư pháp của nước Cộng hòa xã hội chủ nghĩa Việt Nam"
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát nhân dân cấp cao, Viện kiểm sát nhân dân cấp tỉnh, Viện kiểm sát nhân dân cấp huyện do chủ thể nào quyết định?",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, trường hợp hành vi, bản án, quyết định của cơ quan, cá nhân có thẩm quyền trong hoạt động tư pháp có vi phạm pháp luật nghiêm","trọng, xâm phạm quyền con người, quyền công dân, lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân thì Viện kiểm sát nhân dân:"
"Theo Luật Luật tổ chức VKSND 2014, Ngày truyền thống của Viện kiểm sát nhân dân là ngày nào?",Ngày 26 tháng 7
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hiện chức năng thực hành quyền công tố bằng các công tác sau đây:",Điều tra một số loại tội phạm
"Theo Luật Luật tổ chức VKSND 2014, Nguyên tắc tổ chức và hoạt động của Viện kiểm sát nhân dân:",Viện kiểm sát nhân dân do Viện trưởng lãnh đạo
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát hoạt động tư pháp là:","hoạt động của Viện kiểm sát nhân dân để kiểm sát tính hợp pháp của các hành vi, quyết định của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp, được thực hiện ngay từ khi tiếp nhận và giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình giải quyết vụ án hình sự; trong việc giải quyết vụ án hành chính, vụ việc dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động; việc thi hành án, việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác theo quy định của pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng thực hành quyền công tố, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:","Quyết định, phê chuẩn việc áp dụng, thay đổi, hủy bỏ các biện pháp hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong việc khởi tố, điều tra, truy tố theo quy định của Bộ luật tố tụng hình sự"
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng kiểm sát hoạt động tư pháp, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:","Trực tiếp kiểm sát; xác minh, thu thập tài liệu để làm rõ vi phạm pháp luật của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp"
